Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1701399,-,-,-,13.09,30.86,3,482,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Temperature,Clearsky GHI,cloud fill flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,0,30,0,0,18.9,0,0,0,5.7,0,0,0,0,41.92,165.44,0.32,958,1.4,349,4.1,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,1,30,0,0,18,0,0,0,5.6,0,0,0,0,44.22,169.46,0.32,958,1.5,344,4.1,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,2,30,0,0,17.2,0,0,0,5.4,0,0,0,0,45.67,159.63,0.32,957,1.5,339,4,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,3,30,0,0,14.1,0,0,0,-3.5,0,0,0,0,29.35,146.51,0.32,958,1.1,347,3.4,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,4,30,0,0,13.5,0,0,0,-3.3,0,0,0,0,31.11,132.82,0.32,958,1.1,347,3.4,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,5,30,0,0,12.9,0,0,0,-3,0,0,0,0,32.99,119.03,0.32,958,1.1,348,3.1,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,6,30,0,0,12.4,0,0,0,-2.7,0,0,0,0,34.79,105.29,0.32,959,1.1,349,2.9,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,7,30,0,0,12.7,0,0,0,-2.5,0,0,0,0,34.69,91.73,0.32,959,1.1,351,3.1,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,8,30,72,417,15,156,0,0,-2.3,72,417,0,156,30.38,78.42,0.32,960,1.1,353,3.6,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,9,30,113,684,19,394,0,0,-1.9,113,684,0,394,24.21,65.8,0.32,960,1.1,272,3.7,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,10,30,139,803,23.7,609,0,0,-1.8,139,803,0,609,18.26,54.15,0.32,960,1.1,20,4.9,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,11,30,158,859,26.5,773,0,0,-2,158,859,0,773,15.29,44.29,0.32,960,1.1,25,4.6,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,12,30,153,916,28.6,878,0,0,-2.1,153,916,0,878,13.39,37.71,0.32,959,1.1,28,4.3,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,13,30,155,920,30,897,0,0,-2,155,920,0,897,12.44,36.23,0.32,958,1.1,32,3.9,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,14,30,153,900,30.9,838,0,0,-1.6,153,900,0,838,12.15,40.42,0.32,957,1.1,33,3.6,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,15,30,142,855,31,705,0,0,-1.3,142,855,0,705,12.42,48.85,0.32,956,1.1,32,3.4,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,16,30,125,766,30.3,511,0,0,-1,125,766,0,511,13.17,59.73,0.32,956,1.1,28,3,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,17,30,95,589,27.9,278,0,0,0,95,589,0,278,16.28,71.94,0.32,956,1.1,21,2.2,,,,,,,,,,,,,,,,,,,,,,,
